Sentences,Sentiment
"Trên thị trường chứng khoán, chốt phiên ngày 3/3, giá cổ phiếu này đóng cửa tại mức 19.600 đồng với thanh khoản thấp (nhiều phiên không xuất hiện thanh khoản). Hiện cổ phiếu SFN cũng đã bị HNX cắt margin trong quý 1/2023.Trước đó, công ty này bị xử phạt hành chính do khai sai dẫn đến thiếu số thuế GTGT, thu TNDN phải nộp và giảm số thuế GTGT được khấu trừ trong kỳ tính theo quy định với mức phạt gần 134 triệu đồng và công ty bị truy thu hơn 637 triệu đồng và công ty được giảm khấu trừ gần 245 triệu đồng.Về kết quả kinh doanh năm 2022 đã được kiểm toán, SFN ghi nhận doanh thu thuần đạt gần 170 tỷ đồng- tăng 40 tỷ so với cùng kỳ năm 2021 và hoàn thành kể hoạch năm (168,75 tỷ); lợi nhuận trước thuế đạt 10,7 tỷ đồng, đạt đạt chỉ tiêu (11,04 tỷ); lợi nhuận sau thuế đạt gần 8,5 tỷ đồng - giảm 55% so với năm trước đó (18,26 tỷ đồng) và công ty đã tạm ứng cổ tức đợt 1/2022 bằng tiền với tỷ lệ 7% (1 cổ phiếu được nhận 700 đồng) vào ngày 18/10/2022.",-1.0
"Nhóm cổ phiếu bất động sản tăng mạnh, có dòng tiền lớn.Như vậy ngoài yếu tố phục hồi ở nhóm blue-chips dẫn dắt, thị trường cũng có được sự cộng hưởng tăng giá ở các cổ phiếu còn lại",1.0
" Top 10 cổ phiếu lớn nhất trong danh mục hiện tại gồm VHM, VIC, HPG, MSN, FPT, SSI, VRE, CTG, VNM.",0.0
" Cụ thể, giá thép ước tính tăng 10% so với Q4/2022, song song với đó, giá quặng sắt tăng 23% QoQ, giá than cốc tăng 10% QoQ, thép phế liệu tăng 31% QoQ, phôi thép tăng 11% QoQ.KBSV dự báo giá bán và giá nguyên vật liệu sẽ giảm dần từ giờ tới cuối năm khi nguồn cung khôi phục",1.0
" Một số khác đề cập đến việc lợi suất trái phiếu kho bạc Mỹ quay đầu giảm sau khi đạt đỉnh của phiên. Ngoài ra, cũng có lý giải rằng sự phục hồi là tất yếu khi thị trường đã rơi vào tình trạng bán quá nhiều (oversold), vì trong tuần này có lúc S&P 500 giảm hơn 8% so với mức cao của năm 2023.Lợi suất trái phiếu kho bạc Mỹ đã tăng mạnh ngay sau khi báo cáo việc làm được công bố, với lợi suất của kỳ hạn 10 năm lên gần mức cao nhất 16 năm",-1.0
" Đáng chú ý là DIG giảm 6,32% với thanh khoản cao nhất thị trường 404,3 tỷ đồng. NVL giảm 3,76% giao dịch thứ 3 thị trường với 245,5 tỷ. DXG giảm 3% giao dịch 114,6 tỷ đứng thứ 9. Chứng khoán có SSI giảm 2,23% giao dịch 293,4 tỷ, VND giảm 1,57% giao dịch 179,5 tỷ đều đứng trong Top 5.Tổng thể thanh khoản hai sàn niêm yết sáng nay giảm 23% so với sáng hôm qua, đạt gần 5.655 tỷ đồng, trong đó HoSE giảm 24% đạt 4.778 tỷ đồng",-1.0
"Sở Giao dịch Chứng khoán Hà Nội (HNX) có thông báo về trạng thái chứng khoán cổ phiếu FLC của CTCP Tập đoàn FLC.Theo đó, cổ phiếu FLC bị đưa vào diện hạn chế giao dịch từ ngày 25/05 do chậm nộp BCTC kiểm toán 2022 quá 45 ngày kể từ ngày kết thúc thời hạn phải công bố thông tin theo quy định.Đồng thời, cổ phiếu FLC tiếp tục bị đình chỉ giao dịch theo quyết định ngày 24/02 do tổ chức đăng ký giao dịch là công ty bị hủy bỏ niêm yết bắt buộc do vi phạm nghiêm trọng nghĩa vụ công bố thông tin và các trường hợp khác mà Sở GDCK hoặc Ủy ban Chứng khoán Nhà nước xét thấy cần thiết phải hủy bỏ niêm yết nhằm bảo về quyền lợi của nhà đầu tư",-1.0
" VN-Index phiên hôm nay ghi nhận chạm mốc điều chỉnh 61,8 fibonanci và tạm thời cho tín hiệu rút chân vào cuối phiên",1.0
" Việc các ngân hàng trung ương duy trì thắt chặt trong bối cảnh cuộc khủng hoảng ngân hàng là dấu hiệu rằng các nhà hoạch định chính sách tiền tệ vẫn đang đặt nhiệm vụ chống lạm phát lên vị trí hàng đầu.Môi trường lãi suất tăng không có lợi cho giá vàng, nhưng bất kỳ tín hiệu nào về sự dịu đi của lãi suất cũng có thể đưa giá vàng bứt phá.Khả năng sắp tới hồi kết của chu kỳ thắt chặt ở Mỹ đang được giới đầu tư trên thị trường vàng xem là cơ sở để mua vào. Chính sách của Fed vẫn đang là nhân tố chi phối chủ yếu trực tiếp đến giá vàng, vì vàng là tài sản không mang lãi suất, và gián tiếp thông qua tỷ giá đồng USD, vì vàng được định giá bằng đồng bạc xanh",1.0
"Lúc hơn 9h, giá vàng giao ngay tại thị trường châu Á giảm 5,8 USD/oz so với đóng cửa tuần trước tại thị trường Mỹ, đứng ở mức 1.955,9 USD/oz - theo dữ liệu từ sàn giao dịch Kitco",-1.0
